Year,Managers_Male,Managers_Female,Professional_Male,Professional_Female,Technician_Male,Technician_Female,Community_Male,Community_Female,Clerical_Admin_Male,Clerical_Admin_Female,Sales_Workers_Male,Sales_Workers_Female,Machinery_Male,Machinery_Female,Labourers_Male,Labourers_Female,Total_Male,Total_Female
2004,78.4,21.6,73.0,27.0,94.6,5.4,34.4,65.6,46.7,53.3,34.6,65.4,94.8,5.2,79.6,20.4,74.4,25.6
2005,80.3,19.7,79.7,20.3,98.9,1.1,39.8,60.2,51.1,48.9,39.4,60.6,95.3,4.7,79.2,20.8,77.1,22.9
2006,78.3,21.7,79.6,20.4,96.2,3.8,50.7,49.3,51.4,48.6,33.9,66.1,94.6,5.4,70.2,29.8,76.5,23.5
2007,78.6,21.4,78.9,21.1,95.6,4.4,47.1,52.9,54.5,45.5,38.3,61.7,93.7,6.3,74.9,25.1,77.1,22.9
2008,76.3,23.7,77.5,22.5,95.9,4.1,35.2,64.8,58.3,41.7,48.0,52.0,93.0,7.0,81.0,19.0,78.4,21.6
2009,81.1,18.9,74.4,25.6,100.0,0.0,39.2,60.8,52.0,48.0,38.5,61.5,94.3,5.7,74.0,26.0,76.2,23.8
2010,80.5,19.5,76.3,23.7,97.3,2.7,33.0,67.0,57.0,43.0,27.5,72.5,93.8,6.2,81.0,19.0,77.8,22.2
2011,80.9,19.1,80.8,19.2,93.8,6.2,42.2,57.8,55.0,45.0,25.1,74.9,93.3,6.7,84.9,15.1,78.7,21.3
2012,85.2,14.8,81.5,18.5,91.6,8.4,40.4,59.6,54.7,45.3,45.9,54.1,94.4,5.6,76.6,23.4,79.2,20.8
2013,83.6,16.4,78.1,21.9,99.3,0.7,43.2,56.8,56.2,43.8,49.8,50.2,93.7,6.3,75.3,24.7,78.5,21.5
2014,80.1,19.9,74.3,25.7,86.1,13.9,42.1,57.9,51.6,48.4,26.6,73.4,92.8,7.2,87.9,12.1,77.1,22.9
2015,75.8,24.2,79.3,20.7,95.4,4.6,36.5,63.5,49.7,50.3,36.3,63.7,93.8,6.2,77.7,22.3,76.1,23.9
2016,75.8,24.2,67.5,32.5,96.9,3.1,41.0,59.0,56.5,43.5,27.6,72.4,93.6,6.4,74.7,25.3,77.3,22.7
2017,69.5,30.5,83.4,16.6,96.4,3.6,44.7,55.3,57.1,42.9,40.9,59.1,92.9,7.1,80.0,20.0,78.3,21.7
2018,72.1,27.9,82.9,17.1,99.8,0.2,40.8,59.2,54.8,45.2,43.5,56.5,94.3,5.7,78.5,21.5,79.0,21.0
2019,73.8,26.2,71.9,28.1,96.6,3.4,41.7,58.3,59.0,41.0,33.3,66.7,91.5,8.5,73.7,26.3,78.1,21.9
2020,71.0,29.0,70.4,29.6,92.4,7.6,61.1,38.9,53.4,46.6,32.3,67.7,90.4,9.6,64.7,35.3,75.9,24.1
2021,76.5,23.5,73.4,26.6,98.6,1.4,51.0,49.0,51.1,48.9,50.3,49.7,91.9,8.1,70.2,29.8,77.6,22.4
2022,67.0,33.0,70.6,29.4,94.9,5.1,37.7,62.3,58.0,42.0,30.1,69.9,88.6,11.4,87.5,12.5,76.7,23.3
2023,64.4,35.6,70.7,29.3,94.6,5.4,50.0,50.0,51.7,48.3,44.7,55.3,91.5,8.5,72.9,27.1,76.0,24.0
2024,70.3,29.7,77.2,22.8,93.1,6.9,45.9,54.1,55.4,44.6,43.9,56.1,91.4,8.6,71.6,28.4,77.6,22.4
